Temperature (K)	Pressure (MPa)	Density (mol/l)	Volume (l/mol)	Internal Energy (kJ/mol)	Enthalpy (kJ/mol)	Entropy (J/mol*K)	Cv (J/mol*K)	Cp (J/mol*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
273.16	0.10000	55.500	0.018018	3.3200e-05	0.0018350	0.00012137	75.970	76.014	1402.4	-0.24141	1791.1	0.55567	liquid
273.83	0.10000	55.502	0.018017	0.050694	0.052496	0.18536	75.943	75.973	1405.8	-0.24076	1750.3	0.55737	liquid
274.49	0.10000	55.504	0.018017	0.10133	0.10313	0.37005	75.916	75.935	1409.0	-0.24012	1710.9	0.55904	liquid
275.16	0.10000	55.505	0.018016	0.15194	0.15374	0.55420	75.888	75.898	1412.3	-0.23949	1673.0	0.56069	liquid
275.83	0.10000	55.506	0.018016	0.20252	0.20433	0.73782	75.859	75.864	1415.5	-0.23887	1636.3	0.56231	liquid
276.49	0.10000	55.507	0.018016	0.25309	0.25489	0.92091	75.829	75.830	1418.6	-0.23825	1601.0	0.56391	liquid
277.16	0.10000	55.507	0.018016	0.30363	0.30543	1.1035	75.799	75.799	1421.7	-0.23764	1566.8	0.56549	liquid
277.83	0.10000	55.507	0.018016	0.35415	0.35595	1.2856	75.768	75.769	1424.7	-0.23705	1533.8	0.56704	liquid
278.49	0.10000	55.506	0.018016	0.40465	0.40645	1.4671	75.736	75.740	1427.7	-0.23645	1501.9	0.56858	liquid
279.16	0.10000	55.505	0.018016	0.45514	0.45694	1.6482	75.703	75.713	1430.6	-0.23587	1471.0	0.57010	liquid
279.83	0.10000	55.504	0.018017	0.50560	0.50740	1.8287	75.670	75.688	1433.5	-0.23529	1441.2	0.57159	liquid
280.49	0.10000	55.502	0.018017	0.55605	0.55785	2.0088	75.636	75.663	1436.4	-0.23472	1412.3	0.57307	liquid
281.16	0.10000	55.500	0.018018	0.60648	0.60829	2.1884	75.601	75.640	1439.2	-0.23415	1384.3	0.57453	liquid
281.83	0.10000	55.498	0.018019	0.65690	0.65870	2.3675	75.566	75.618	1441.9	-0.23359	1357.2	0.57597	liquid
282.49	0.10000	55.495	0.018020	0.70730	0.70911	2.5461	75.530	75.597	1444.6	-0.23304	1331.0	0.57739	liquid
283.16	0.10000	55.492	0.018021	0.75769	0.75950	2.7243	75.494	75.577	1447.3	-0.23250	1305.5	0.57880	liquid
283.83	0.10000	55.488	0.018022	0.80807	0.80987	2.9020	75.457	75.558	1449.9	-0.23196	1280.9	0.58019	liquid
284.49	0.10000	55.485	0.018023	0.85844	0.86024	3.0792	75.419	75.540	1452.5	-0.23142	1256.9	0.58156	liquid
285.16	0.10000	55.481	0.018024	0.90879	0.91059	3.2560	75.381	75.523	1455.1	-0.23089	1233.7	0.58291	liquid
285.83	0.10000	55.476	0.018026	0.95913	0.96093	3.4324	75.342	75.506	1457.5	-0.23037	1211.2	0.58425	liquid
286.49	0.10000	55.472	0.018027	1.0095	1.0113	3.6082	75.303	75.491	1460.0	-0.22985	1189.3	0.58558	liquid
287.16	0.10000	55.467	0.018029	1.0598	1.0616	3.7837	75.263	75.477	1462.4	-0.22933	1168.0	0.58688	liquid
287.83	0.10000	55.461	0.018031	1.1101	1.1119	3.9587	75.223	75.463	1464.8	-0.22882	1147.4	0.58818	liquid
288.49	0.10000	55.456	0.018032	1.1604	1.1622	4.1332	75.182	75.450	1467.1	-0.22832	1127.3	0.58946	liquid
289.16	0.10000	55.450	0.018034	1.2107	1.2125	4.3074	75.141	75.437	1469.4	-0.22782	1107.8	0.59072	liquid
289.83	0.10000	55.444	0.018036	1.2610	1.2628	4.4811	75.099	75.426	1471.7	-0.22732	1088.8	0.59197	liquid
290.49	0.10000	55.437	0.018038	1.3113	1.3131	4.6544	75.057	75.415	1473.9	-0.22683	1070.4	0.59321	liquid
291.16	0.10000	55.431	0.018041	1.3615	1.3633	4.8272	75.014	75.404	1476.1	-0.22635	1052.4	0.59443	liquid
291.83	0.10000	55.424	0.018043	1.4118	1.4136	4.9997	74.971	75.395	1478.2	-0.22586	1034.9	0.59565	liquid
292.49	0.10000	55.416	0.018045	1.4621	1.4639	5.1717	74.927	75.385	1480.3	-0.22538	1017.9	0.59684	liquid
293.16	0.10000	55.409	0.018048	1.5123	1.5141	5.3433	74.883	75.377	1482.4	-0.22491	1001.4	0.59803	liquid
293.83	0.10000	55.401	0.018050	1.5625	1.5644	5.5145	74.839	75.369	1484.4	-0.22444	985.23	0.59920	liquid
294.49	0.10000	55.393	0.018053	1.6128	1.6146	5.6853	74.794	75.361	1486.4	-0.22397	969.50	0.60036	liquid
295.16	0.10000	55.385	0.018056	1.6630	1.6648	5.8557	74.748	75.354	1488.4	-0.22351	954.18	0.60151	liquid
295.83	0.10000	55.376	0.018058	1.7133	1.7151	6.0257	74.702	75.347	1490.3	-0.22305	939.25	0.60265	liquid
296.49	0.10000	55.367	0.018061	1.7635	1.7653	6.1953	74.656	75.341	1492.2	-0.22259	924.69	0.60377	liquid
297.16	0.10000	55.358	0.018064	1.8137	1.8155	6.3645	74.609	75.335	1494.0	-0.22214	910.48	0.60488	liquid
297.83	0.10000	55.349	0.018067	1.8639	1.8657	6.5333	74.562	75.330	1495.8	-0.22168	896.63	0.60598	liquid
298.49	0.10000	55.340	0.018070	1.9141	1.9160	6.7017	74.515	75.325	1497.6	-0.22124	883.12	0.60707	liquid
299.16	0.10000	55.330	0.018073	1.9644	1.9662	6.8698	74.467	75.321	1499.4	-0.22079	869.93	0.60815	liquid
299.83	0.10000	55.320	0.018077	2.0146	2.0164	7.0374	74.419	75.316	1501.1	-0.22035	857.05	0.60922	liquid
300.49	0.10000	55.310	0.018080	2.0648	2.0666	7.2047	74.370	75.313	1502.8	-0.21991	844.48	0.61028	liquid
301.16	0.10000	55.299	0.018083	2.1150	2.1168	7.3716	74.321	75.309	1504.4	-0.21948	832.21	0.61133	liquid
301.83	0.10000	55.289	0.018087	2.1652	2.1670	7.5381	74.272	75.306	1506.0	-0.21904	820.22	0.61236	liquid
302.49	0.10000	55.278	0.018090	2.2154	2.2172	7.7043	74.222	75.303	1507.6	-0.21861	808.51	0.61339	liquid
303.16	0.10000	55.267	0.018094	2.2656	2.2674	7.8700	74.172	75.301	1509.2	-0.21819	797.06	0.61441	liquid
303.83	0.10000	55.256	0.018098	2.3158	2.3176	8.0354	74.122	75.298	1510.7	-0.21776	785.88	0.61541	liquid
304.49	0.10000	55.244	0.018102	2.3660	2.3678	8.2005	74.071	75.296	1512.2	-0.21734	774.95	0.61641	liquid
