Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
273.16	6.0000	1002.8	0.00099718	0.10163	6.0847	0.00033895	4.1898	4.1910	1411.9	-0.24088	1778.3	0.56011	liquid
274.37	6.0000	1002.9	0.00099714	5.1770	11.160	0.018877	4.1877	4.1880	1417.9	-0.23972	1706.5	0.56308	liquid
275.58	6.0000	1002.9	0.00099712	10.249	16.232	0.037321	4.1853	4.1853	1423.8	-0.23860	1639.2	0.56597	liquid
276.79	6.0000	1002.9	0.00099713	15.317	21.300	0.055673	4.1828	4.1829	1429.5	-0.23750	1576.1	0.56880	liquid
278.01	6.0000	1002.9	0.00099716	20.383	26.366	0.073935	4.1801	4.1806	1435.0	-0.23642	1516.8	0.57155	liquid
279.22	6.0000	1002.8	0.00099720	25.446	31.429	0.092108	4.1772	4.1786	1440.4	-0.23537	1461.0	0.57425	liquid
280.43	6.0000	1002.7	0.00099727	30.506	36.490	0.11019	4.1743	4.1768	1445.6	-0.23435	1408.4	0.57688	liquid
281.64	6.0000	1002.6	0.00099736	35.564	41.549	0.12819	4.1711	4.1752	1450.7	-0.23334	1358.8	0.57946	liquid
282.85	6.0000	1002.5	0.00099747	40.621	46.606	0.14611	4.1679	4.1737	1455.7	-0.23236	1311.9	0.58198	liquid
284.06	6.0000	1002.4	0.00099760	45.675	51.661	0.16394	4.1646	4.1723	1460.4	-0.23139	1267.6	0.58444	liquid
285.27	6.0000	1002.3	0.00099775	50.728	56.714	0.18170	4.1611	4.1711	1465.1	-0.23045	1225.6	0.58686	liquid
286.49	6.0000	1002.1	0.00099791	55.779	61.767	0.19937	4.1575	4.1701	1469.6	-0.22952	1185.8	0.58923	liquid
287.70	6.0000	1001.9	0.00099809	60.829	66.818	0.21696	4.1538	4.1691	1474.0	-0.22860	1148.1	0.59155	liquid
