Temperature (K)	Pressure (MPa)	Density (kg/m3)	Volume (m3/kg)	Internal Energy (kJ/kg)	Enthalpy (kJ/kg)	Entropy (J/g*K)	Cv (J/g*K)	Cp (J/g*K)	Sound Spd. (m/s)	Joule-Thomson (K/MPa)	Viscosity (uPa*s)	Therm. Cond. (W/m*K)	Phase
273.16	0.075000	999.83	0.0010002	0.0013798	0.076393	5.0461e-06	4.2171	4.2195	1402.4	-0.24141	1791.2	0.55566	liquid
274.37	0.075000	999.90	0.0010001	5.1105	5.1855	0.018667	4.2144	4.2155	1408.4	-0.24024	1718.1	0.55872	liquid
275.58	0.075000	999.94	0.0010001	10.215	10.290	0.037231	4.2115	4.2119	1414.3	-0.23910	1649.6	0.56170	liquid
276.79	0.075000	999.96	0.0010000	15.315	15.390	0.055697	4.2085	4.2085	1420.0	-0.23798	1585.4	0.56461	liquid
278.01	0.075000	999.96	0.0010000	20.412	20.487	0.074069	4.2054	4.2055	1425.5	-0.23689	1525.2	0.56744	liquid
279.22	0.075000	999.93	0.0010001	25.504	25.579	0.092348	4.2021	4.2027	1430.8	-0.23582	1468.5	0.57021	liquid
280.43	0.075000	999.88	0.0010001	30.594	30.669	0.11054	4.1987	4.2002	1436.1	-0.23478	1415.1	0.57291	liquid
281.64	0.075000	999.81	0.0010002	35.681	35.756	0.12864	4.1952	4.1979	1441.1	-0.23375	1364.8	0.57555	liquid
282.85	0.075000	999.72	0.0010003	40.765	40.840	0.14665	4.1916	4.1957	1446.0	-0.23275	1317.2	0.57813	liquid
284.06	0.075000	999.60	0.0010004	45.846	45.921	0.16458	4.1879	4.1938	1450.8	-0.23177	1272.3	0.58066	liquid
285.27	0.075000	999.47	0.0010005	50.925	51.000	0.18242	4.1840	4.1921	1455.4	-0.23080	1229.8	0.58313	liquid
286.49	0.075000	999.32	0.0010007	56.003	56.078	0.20018	4.1801	4.1905	1459.9	-0.22986	1189.6	0.58554	liquid
287.70	0.075000	999.16	0.0010008	61.078	61.153	0.21786	4.1761	4.1891	1464.3	-0.22892	1151.4	0.58791	liquid
288.91	0.075000	998.97	0.0010010	66.152	66.227	0.23546	4.1719	4.1878	1468.5	-0.22801	1115.1	0.59023	liquid
290.12	0.075000	998.77	0.0010012	71.224	71.299	0.25298	4.1677	4.1866	1472.6	-0.22711	1080.7	0.59250	liquid
291.33	0.075000	998.55	0.0010014	76.295	76.370	0.27042	4.1634	4.1855	1476.6	-0.22622	1047.9	0.59473	liquid
292.54	0.075000	998.32	0.0010017	81.365	81.440	0.28779	4.1590	4.1846	1480.4	-0.22535	1016.7	0.59692	liquid
