,Temperature (K),Pressure (MPa),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Surf. Tension (N/m),Phase
0,273.16,0.00061165,999.79,0.0010002,-8.4202e-11,0.00061178,-2.9514e-13,4.2174,4.2199,1402.3,-0.24142,1791.4,0.55560,0.075646,liquid
1,273.78,0.00063992,999.83,0.0010002,2.6293,2.6299,0.0096145,4.2161,4.2178,1405.4,-0.24081,1753.1,0.55718,0.075559,liquid
2,274.41,0.00066933,999.86,0.0010001,5.2573,5.2580,0.019202,4.2146,4.2158,1408.5,-0.24021,1716.2,0.55875,0.075472,liquid
3,275.03,0.00069994,999.89,0.0010001,7.8841,7.8848,0.028764,4.2132,4.2139,1411.5,-0.23962,1680.5,0.56029,0.075384,liquid
4,275.65,0.00073177,999.91,0.0010001,10.510,10.510,0.038300,4.2117,4.2120,1414.5,-0.23904,1645.9,0.56182,0.075296,liquid
5,276.28,0.00076489,999.92,0.0010001,13.134,13.135,0.047810,4.2102,4.2103,1417.4,-0.23846,1612.5,0.56332,0.075208,liquid
6,276.90,0.00079932,999.92,0.0010001,15.758,15.758,0.057295,4.2086,4.2086,1420.3,-0.23789,1580.2,0.56480,0.075120,liquid
7,277.52,0.00083511,999.92,0.0010001,18.380,18.381,0.066755,4.2070,4.2070,1423.2,-0.23733,1548.8,0.56627,0.075031,liquid
8,278.15,0.00087232,999.92,0.0010001,21.001,21.002,0.076191,4.2053,4.2055,1426.0,-0.23677,1518.5,0.56771,0.074942,liquid
9,278.77,0.00091098,999.90,0.0010001,23.622,23.623,0.085601,4.2037,4.2040,1428.8,-0.23622,1489.1,0.56914,0.074853,liquid
10,279.39,0.00095115,999.89,0.0010001,26.242,26.243,0.094988,4.2020,4.2026,1431.5,-0.23567,1460.6,0.57055,0.074764,liquid
11,280.02,0.00099288,999.86,0.0010001,28.860,28.861,0.10435,4.2002,4.2013,1434.2,-0.23513,1433.0,0.57195,0.074675,liquid
12,280.64,0.0010362,999.83,0.0010002,31.478,31.479,0.11369,4.1984,4.2001,1436.8,-0.23460,1406.2,0.57332,0.074585,liquid
13,281.26,0.0010812,999.80,0.0010002,34.096,34.097,0.12301,4.1966,4.1989,1439.4,-0.23407,1380.2,0.57468,0.074495,liquid
14,281.89,0.0011279,999.75,0.0010002,36.712,36.713,0.13230,4.1948,4.1977,1442.0,-0.23355,1355.0,0.57603,0.074405,liquid
15,282.51,0.0011764,999.71,0.0010003,39.328,39.329,0.14157,4.1929,4.1966,1444.5,-0.23304,1330.5,0.57736,0.074314,liquid
16,283.13,0.0012267,999.66,0.0010003,41.943,41.944,0.15081,4.1910,4.1956,1447.0,-0.23253,1306.7,0.57867,0.074224,liquid
