,Temperature (K),Pressure (MPa),Density (kg/m3),Volume (m3/kg),Internal Energy (kJ/kg),Enthalpy (kJ/kg),Entropy (J/g*K),Cv (J/g*K),Cp (J/g*K),Sound Spd. (m/s),Joule-Thomson (K/MPa),Viscosity (uPa*s),Therm. Cond. (W/m*K),Phase
0,273.16,0.00061165,0.0048546,205.99,2374.9,2500.9,9.1555,1.4184,1.8844,409.00,592.65,8.9458,0.016761,vapor
1,273.78,0.00063992,0.0050674,197.34,2375.8,2502.1,9.1388,1.4189,1.8850,409.45,580.97,8.9636,0.016801,vapor
2,274.41,0.00066933,0.0052884,189.09,2376.6,2503.2,9.1223,1.4194,1.8856,409.90,569.55,8.9815,0.016841,vapor
3,275.03,0.00069994,0.0055178,181.23,2377.5,2504.3,9.1058,1.4199,1.8862,410.35,558.36,8.9995,0.016881,vapor
4,275.65,0.00073177,0.0057558,173.74,2378.4,2505.5,9.0895,1.4205,1.8868,410.80,547.41,9.0175,0.016921,vapor
5,276.28,0.00076489,0.0060028,166.59,2379.2,2506.6,9.0732,1.4210,1.8875,411.25,536.69,9.0356,0.016961,vapor
6,276.90,0.00079932,0.0062590,159.77,2380.1,2507.8,9.0570,1.4215,1.8881,411.70,526.20,9.0537,0.017002,vapor
7,277.52,0.00083511,0.0065248,153.26,2380.9,2508.9,9.0409,1.4220,1.8888,412.15,515.93,9.0719,0.017042,vapor
8,278.15,0.00087232,0.0068003,147.05,2381.8,2510.1,9.0249,1.4226,1.8894,412.60,505.88,9.0901,0.017083,vapor
9,278.77,0.00091098,0.0070860,141.12,2382.6,2511.2,9.0090,1.4231,1.8901,413.04,496.05,9.1084,0.017124,vapor
10,279.39,0.00095115,0.0073821,135.46,2383.5,2512.3,8.9932,1.4236,1.8907,413.49,486.43,9.1267,0.017164,vapor
11,280.02,0.00099288,0.0076889,130.06,2384.3,2513.5,8.9775,1.4242,1.8914,413.94,477.02,9.1451,0.017205,vapor
12,280.64,0.0010362,0.0080068,124.89,2385.2,2514.6,8.9619,1.4247,1.8920,414.38,467.82,9.1636,0.017246,vapor
13,281.26,0.0010812,0.0083362,119.96,2386.1,2515.8,8.9463,1.4253,1.8927,414.82,458.82,9.1821,0.017287,vapor
14,281.89,0.0011279,0.0086773,115.24,2386.9,2516.9,8.9309,1.4258,1.8933,415.27,450.01,9.2006,0.017328,vapor
15,282.51,0.0011764,0.0090304,110.74,2387.8,2518.0,8.9155,1.4264,1.8940,415.71,441.39,9.2192,0.017370,vapor
16,283.13,0.0012267,0.0093961,106.43,2388.6,2519.2,8.9002,1.4269,1.8947,416.15,432.97,9.2379,0.017411,vapor
17,283.75,0.0012789,0.0097745,102.31,2389.5,2520.3,8.8850,1.4274,1.8954,416.60,424.73,9.2566,0.017452,vapor
18,284.38,0.0013330,0.010166,98.365,2390.3,2521.5,8.8699,1.4280,1.8960,417.04,416.67,9.2753,0.017494,vapor
19,285.00,0.0013892,0.010571,94.594,2391.2,2522.6,8.8549,1.4285,1.8967,417.48,408.80,9.2941,0.017535,vapor
20,285.62,0.0014474,0.010991,90.986,2392.0,2523.7,8.8399,1.4291,1.8974,417.92,401.09,9.3130,0.017577,vapor
